Region #,Region,IMD - Average score,IMD - Extent,Income - Average score,Employment - Average score,"Education, Skills and Training - Average score",Health Deprivation and Disability - Average score,Crime - Average score,Barriers to Housing and Services - Average score,Living Environment - Average score
E08000009,Trafford,15.388,0.1021,0.12,0.107,11.154,0.004,-0.352,13.66,18.301
E08000010,Wigan,24.857,0.2814,0.163,0.156,26.699,0.653,-0.008,14.167,13.808
E08000011,Knowsley,41.387,0.5737,0.276,0.233,40.411,1.4,0.129,17.13,21.934
E08000012,Liverpool,41.126,0.5937,0.256,0.207,32.681,1.413,0.467,14.725,37.595
E08000013,St. Helens,29.809,0.3729,0.196,0.183,24.664,0.998,0.049,15.07,19.673
E08000014,Sefton,25.732,0.2735,0.176,0.169,19.604,0.691,-0.145,9.68,23.834
E08000015,Wirral,26.892,0.3074,0.187,0.173,20.106,0.818,-0.247,11.075,21.872
E08000016,Barnsley,29.568,0.3662,0.188,0.181,37.762,0.832,0.135,10.889,12.024
E08000017,Doncaster,29.051,0.3569,0.186,0.167,35.244,0.593,0.43,13.318,18.966
E08000018,Rotherham,28.279,0.3231,0.187,0.168,33.895,0.642,0.248,14.611,13.054
E08000019,Sheffield,27.568,0.343,0.173,0.136,31.263,0.397,0.222,23.6,20.51
